,d1,d2,plane_height,pass_height,cloud_height1,cloud_height2,cloud above plane height1,cloud above plane height1,roll,pitch,pixel height,x_target,pass_number,camera,timestamp,cloud_above_plane_height,pixel_height
61,18999.686154786,4863.410454188575,4701.083,5041.0493,5051.398655598139,4790.75464435679,,,-8.559297,1.9473678,,380,124,191919,2022-07-23 19:18:49,-250.29467204946013,345.86661028862
62,22779.92836904612,1020.0356617594961,4517.0024,5041.0493,4613.359956528977,4521.314715984879,,,0.55176306,1.9473678,,206,124,191919,2022-07-23 19:19:15,-519.7346004213714,323.0
63,20583.944893842254,3243.465224719221,4598.327,5041.0493,3808.0133825871335,4473.8001484821,,,-3.598857,1.9473678,,380,124,191919,2022-07-23 19:19:00,-567.2491679241502,257.0
64,22050.837087002616,1757.5563438981626,4535.2144,5041.0493,4870.582981408681,4561.947342558575,,,-1.123751,1.9473678,,198,124,191919,2022-07-23 19:19:10,-479.10197384767525,340.0
65,19568.556331327418,4278.170154732474,4663.1924,5041.0493,4392.100760102812,4603.9291600043825,,,-7.008219,1.9473678,,380,124,191919,2022-07-23 19:18:53,-437.12015640186746,295.0602835714817
66,19282.54480671259,4571.759952104992,4682.757,5041.0493,7504.011770849495,5351.654242227268,,,-9.049588,1.9473678,,513,124,191919,2022-07-23 19:18:51,310.6049258210178,543.0
67,21611.10719550829,2202.646087760246,4550.302,5041.0493,3706.593835217053,4464.3075582944475,,,0.109897904,1.9473678,,380,124,191919,2022-07-23 19:19:07,-576.7417581118025,256.0
68,19711.981455569523,4131.440734741502,4653.896,5041.0493,4291.708734730688,4577.985047791948,,,-6.4983206,1.9473678,,380,124,191919,2022-07-23 19:18:54,-463.0642686143019,287.30949152447283
69,22924.708858807215,873.6040777822309,4513.707,5041.0493,4640.288690168324,4518.533665397883,,,0.6923574,1.9473678,,211,124,191919,2022-07-23 19:19:16,-522.5156510083671,325.0
70,18306.450411924296,5586.162251217793,4744.5547,5041.0493,4360.90277264081,4627.481340559018,,,-12.871798,1.9473678,,380,124,191919,2022-07-23 19:18:44,-413.56797584723245,283.6498958542943
71,17636.43239080744,6301.840433502327,4780.5405,5041.0493,5367.690460670016,4990.33913124453,,,-8.884884,1.9473678,,380,124,191919,2022-07-23 19:18:39,-50.71018516171989,368.1972985267639
72,20291.74350499036,3540.3511347850736,4616.6533,5041.0493,3916.188459250846,4494.446039150956,,,-4.104246,1.9473678,,380,124,191919,2022-07-23 19:18:58,-546.6032772552944,263.0
73,18859.601677817005,5008.39652880295,4711.503,5041.0493,4669.473563393843,4700.341183880581,,,-9.473601,1.9473678,,380,124,191919,2022-07-23 19:18:48,-340.7081325256686,313.7656913995743
74,17901.863430475063,6015.9012450500695,4766.5767,5041.0493,5119.77520869466,4885.26386200913,,,-13.295187,1.9473678,,380,124,191919,2022-07-23 19:18:41,-155.7854543971198,347.2535376548767
75,21170.87839268549,2648.5104625710665,4568.285,5041.0493,3782.7829744079045,4470.016017894856,,,-0.4265089,1.9473678,,380,124,191919,2022-07-23 19:19:04,-571.0332985113937,259.0
76,20146.47264798912,3688.160509222479,4625.8545,5041.0493,4750.102120633609,4648.603980703415,,,-4.7327976,1.9473678,,382,124,191919,2022-07-23 19:18:57,-392.4453357028351,326.0
77,17768.925231939662,6158.648526918986,4773.3965,5041.0493,4779.706669388456,4775.583961260135,,,-10.252592,1.9473678,,380,124,191919,2022-07-23 19:18:40,-265.46535514611514,317.70323860645294
